,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0101.a5.txt,2035.12,1077.41,407.02,758.18,6,1,1
1,2026.a5.txt,1787.04,833.33,435.19,740.74,5,7,2
2,0159.a5.txt,2106.18,1053.09,330.72,957.35,0,0,0
3,1022.a5.txt,2369.12,1144.63,452.53,1047.03,1,0,0
4,1036.a5.txt,1382.84,934.7,307.3,678.62,15,1,4
5,0199.a5.txt,1810.43,985.78,379.15,777.25,7,11,1
6,0115.a5.txt,1329.33,1072.04,480.27,746.14,17,3,2
7,2015.a5.txt,1842.11,939.85,330.83,759.4,22,4,13
8,0137.a5.txt,1802.22,1053.6,452.87,573.01,12,7,11
9,1112.a5.txt,1989.49,1081.08,518.02,1013.51,6,0,1
10,1095.a5.txt,1485.66,1033.88,417.03,807.99,8,11,1
11,2005.a5.txt,1916.82,1112.12,334.54,614.83,19,4,11
12,0119.a5.txt,1833.88,1085.53,230.26,731.91,9,9,3
13,1081.a5.txt,2031.98,1063.03,413.92,893.7,2,0,4
14,1032.a5.txt,2153.47,1155.12,569.31,660.07,0,0,1
15,0125.a5.txt,2221.16,1000.95,476.64,877.03,1,0,2
16,1005.a5.txt,1795.07,993.84,354.39,577.81,21,4,10
17,1023.a5.txt,1644.79,988.42,432.43,679.54,17,9,3
18,0187.a5.txt,2275.18,1097.12,359.71,773.38,5,1,5
19,1074.a5.txt,1901.79,1062.5,526.79,839.29,7,1,1
20,0178.a5.txt,1518.22,1012.15,458.84,789.47,11,30,6
21,2012.a5.txt,2033.01,825.21,367.59,712.68,14,6,4
22,1006.a5.txt,1602.51,1020.59,402.86,653.54,14,11,2
23,2071.a5.txt,2278.13,1055.21,398.32,887.49,2,0,1
24,1072.a5.txt,1389.5,1049.52,458.24,539.54,12,4,8
25,0112.a5.txt,2165.04,1073.65,576.75,638.86,4,0,2
26,0102.a5.txt,1652.24,1030.68,267.51,873.33,12,7,5
27,0158.a5.txt,1578.03,1194.42,540.54,758.5,19,0,4
28,0139.a5.txt,1340.29,1187.8,313.0,521.67,28,3,6
